country,fruit_dietary_intake,vegetables_dietary_intake,legumes_dietary_intake,nuts_dietary_intake,whole_grains_dietary_intake,fish_dietary_intake,dairy_dietary_intake,red_meat_dietary_intake,salt_legislation_policy,sugar_tax_policy,sodium_policy,gdp_per_capita_mean_2011_2021,obesity_mean_2011_2016,overweight_mean_2011_2016,underweight_mean_2011_2016,blood_pressure_mean_2011_2015,Risk_factor_obese_2018
United Kingdom of Great Britain and Northern Ireland,91.3,117.4,40.3,5.4,46.2,28.7,671.7,42.7,No,Yes,Yes,44411.38,26.26,62.48,1.25,16.2,16934.5
Georgia,71.8,87.7,34.5,6.3,43.5,56.9,863.8,15.3,Yes,No,Yes,13036.32,19.93,52.36,2.72,26.26,1833.67
Ghana,87.9,137.4,19.5,29.3,11.0,90.4,39.3,14.6,Yes,No,No,5038.96,9.68,30.01,9.19,24.3,2338.33
Guinea,22.0,20.2,3.2,10.6,40.1,16.5,43.2,13.8,Yes,No,No,2142.67,6.82,25.03,11.32,30.2,537.83
Gambia,30.7,48.1,7.0,12.0,62.3,38.5,26.9,6.6,Yes,Yes,No,2118.21,9.26,30.03,10.44,29.66,108.33
Guinea-Bissau,67.6,138.1,90.9,12.6,18.3,17.4,76.6,19.6,Yes,No,No,2185.82,8.38,28.03,10.14,30.54,113.83
Equatorial Guinea,91.0,147.3,36.8,11.4,39.2,54.2,70.7,21.9,No,No,No,25939.81,7.46,25.76,13.77,28.48,43.67
Greece,77.0,91.3,13.9,7.4,34.3,30.6,530.1,78.5,No,No,Yes,28553.07,23.75,61.17,0.85,19.76,3924.5
Grenada,121.5,252.3,28.5,0.0,23.1,24.8,170.3,27.0,No,No,No,14961.62,19.8,49.55,4.2,24.22,29.17
Guatemala,75.6,92.4,46.1,2.6,23.0,6.0,185.7,57.3,Yes,Yes,Yes,7768.62,19.35,53.93,1.93,21.39,2060.5
Guyana,202.8,145.1,21.4,8.3,4.8,43.4,233.2,47.9,No,No,No,13156.91,18.4,47.21,5.22,22.86,241.5
Honduras,88.8,29.5,41.1,4.6,25.0,12.2,171.9,30.2,Yes,Yes,No,5303.51,19.74,53.8,2.68,21.63,1152.5
Croatia,59.5,480.8,8.2,8.9,58.1,39.0,660.0,251.5,Yes,No,Yes,25822.16,23.08,58.29,1.26,32.4,1875.0
Haiti,70.0,80.1,26.8,5.2,25.7,20.2,89.8,17.8,Yes,No,No,2980.85,20.37,52.07,4.62,24.91,2312.0
Hungary,60.0,62.1,16.2,1.6,44.7,11.9,426.0,22.3,Yes,Yes,Yes,28920.17,25.17,60.42,1.72,30.82,5254.17
Indonesia,67.0,160.5,27.5,5.1,29.6,56.7,53.6,23.9,Yes,No,No,10582.93,5.97,26.09,13.75,24.01,16959.83
India,35.8,167.8,24.9,3.2,121.8,9.6,107.8,3.5,Yes,Yes,Yes,5682.67,3.43,18.32,24.57,25.61,41893.33
Ireland,78.4,116.6,22.3,12.9,18.9,13.2,1004.9,40.8,No,Yes,Yes,73004.94,23.71,59.23,0.99,20.74,942.17
Iran (Islamic Republic of),168.6,227.3,15.4,7.0,51.6,8.7,259.7,16.2,Yes,Yes,Yes,13108.11,24.23,59.81,3.92,20.51,11657.5
Iraq,102.9,116.0,36.2,12.7,9.4,26.4,396.7,67.2,No,No,Yes,10388.29,28.73,63.08,2.41,25.59,8332.17
Iceland,76.1,69.3,5.4,1.4,74.6,46.7,770.8,58.3,No,No,Yes,53502.34,20.86,58.16,1.17,20.46,54.5
Israel,133.9,83.3,70.6,27.8,52.9,127.5,1094.2,132.1,No,No,Yes,38209.61,25.25,63.54,1.0,17.58,1432.0
Italy,199.4,149.4,13.8,3.3,9.2,61.4,322.6,53.4,Yes,No,Yes,41362.7,19.06,57.43,1.17,22.27,16569.83
Jamaica,176.7,148.9,11.4,3.1,22.0,46.6,251.1,12.2,No,No,Yes,10087.28,22.87,53.46,4.36,22.15,761.17
Jordan,171.1,117.1,25.9,10.5,23.9,54.0,327.1,55.5,Yes,No,Yes,10300.67,34.13,68.29,1.31,21.68,1372.33
Japan,108.9,282.7,58.9,2.4,6.1,50.2,187.9,90.2,No,No,Yes,40271.79,3.85,26.19,6.88,18.14,3319.0
Kazakhstan,59.1,157.0,6.7,75.0,37.1,33.0,628.6,103.2,Yes,No,Yes,24303.8,19.46,51.96,2.99,27.17,4373.17
Kenya,105.0,246.9,28.0,0.6,12.7,10.8,112.5,14.7,Yes,Yes,No,4564.6,6.23,23.76,12.39,26.45,1549.0
Kyrgyzstan,74.9,38.1,6.2,37.5,46.6,1.8,173.7,42.5,Yes,No,No,4817.17,15.01,46.37,3.35,26.52,1068.0
Cambodia,49.0,117.9,3.8,1.5,16.4,71.0,25.1,24.8,Yes,No,No,3844.53,3.26,19.91,14.3,25.69,530.17
Kiribati,98.0,87.9,29.2,3.2,35.7,60.7,58.6,28.9,Yes,Yes,No,1966.09,44.38,77.69,0.82,21.46,77.67
Saint Kitts and Nevis,,,,,,,,,No,Yes,No,24129.12,21.16,50.33,3.56,25.35,
