country,fruit_dietary_intake,vegetables_dietary_intake,legumes_dietary_intake,nuts_dietary_intake,whole_grains_dietary_intake,fish_dietary_intake,dairy_dietary_intake,red_meat_dietary_intake,salt_legislation_policy,sugar_tax_policy,sodium_policy,gdp_per_capita_mean_2011_2021,obesity_mean_2011_2016,overweight_mean_2011_2016,underweight_mean_2011_2016,blood_pressure_mean_2011_2015,Risk_factor_obese_2018
Peru,227.8,95.6,33.6,7.3,34.5,42.9,319.2,108.9,Yes,Yes,Yes,11930.22,18.62,56.06,1.34,14.34,2550.0
Philippines,84.9,110.3,9.2,0.4,52.7,24.6,109.7,25.1,Yes,Yes,No,7583.65,5.73,26.04,12.88,22.58,6112.5
Palau,,,,,,,,,No,No,Yes,14188.45,53.9,84.22,0.45,23.28,
Papua New Guinea,3.9,81.9,5.1,0.1,114.8,0.0,38.2,240.8,Yes,No,No,3529.09,19.75,51.0,2.45,25.03,1888.83
Poland,234.9,178.7,2.9,3.6,21.4,19.2,651.4,69.3,Yes,No,Yes,29245.89,21.98,57.2,1.76,29.28,15726.5
Democratic People's Republic of Korea,,,,,,,,,No,No,No,,6.14,31.11,6.87,18.22,
Portugal,420.9,161.2,11.8,3.0,28.7,56.7,470.3,65.6,No,Yes,Yes,32064.23,19.62,56.22,1.29,25.32,2815.17
Paraguay,93.9,67.7,16.4,6.1,29.4,11.9,327.8,96.0,Yes,Yes,Yes,11796.58,18.96,51.82,2.03,25.02,999.83
State of Palestine,106.1,139.3,37.8,19.1,13.3,32.5,403.3,40.6,Yes,No,,5668.27,30.98,65.4,1.4,22.85,855.67
Qatar,123.1,168.9,38.0,20.3,15.9,34.3,396.1,39.9,Yes,Yes,Yes,100441.51,36.34,71.0,1.7,22.06,190.67
Romania,194.2,358.2,33.1,10.8,5.2,41.4,1006.2,69.5,Yes,No,No,25684.25,21.31,56.38,1.77,30.13,8722.0
Russian Federation,90.4,180.9,1.0,16.6,88.8,34.7,615.2,183.9,No,No,Yes,26280.31,21.76,55.97,1.82,28.13,81883.5
Rwanda,122.6,281.1,80.1,7.0,27.4,24.8,35.0,4.7,Yes,No,No,1950.06,4.93,23.01,10.29,26.51,348.0
Saudi Arabia,146.6,147.0,55.7,25.3,24.3,45.8,374.7,40.4,Yes,Yes,Yes,47572.5,34.93,68.74,2.17,23.69,5349.83
Sudan,82.4,130.6,22.9,14.3,36.3,48.3,107.3,17.3,Yes,No,No,4584.43,7.37,26.66,10.25,30.07,1898.83
Senegal,52.4,73.1,18.2,7.5,70.7,44.1,44.9,7.7,Yes,Yes,No,3073.29,7.69,26.35,12.06,30.39,664.0
Singapore,134.2,152.2,15.6,2.6,8.1,50.2,74.6,44.7,No,No,Yes,91189.77,5.76,31.16,6.28,15.53,145.0
Solomon Islands,60.0,173.2,29.2,1.1,11.3,29.9,117.2,66.5,Yes,No,No,2301.51,20.92,53.12,1.74,21.79,240.0
Sierra Leone,89.3,119.1,22.0,2.5,64.7,48.3,45.2,10.0,No,No,No,1680.19,7.75,26.15,10.76,30.58,386.33
El Salvador,124.0,128.4,35.7,3.2,23.7,10.5,245.6,63.0,Yes,Yes,No,8211.53,22.49,58.02,2.04,19.21,1080.33
San Marino,,,,,,,,,No,No,Yes,59826.24,,,,,
Somalia,,,,,,,,,Yes,No,No,915.85,7.32,26.66,11.23,33.0,
Serbia,148.4,460.9,32.2,4.0,194.8,17.2,481.1,77.3,Yes,No,No,16565.02,20.45,55.99,1.82,30.11,4364.0
South Sudan,,,,,,,,,No,No,No,1056.54,,,,,
Sao Tome and Principe,128.9,36.2,8.6,8.9,25.0,73.9,142.7,7.8,Yes,Yes,No,3837.22,11.02,33.24,7.72,26.45,13.67
Suriname,103.3,180.3,71.7,15.4,39.6,25.0,243.5,75.5,No,Yes,No,18405.7,25.03,57.41,3.52,22.74,156.0
Slovakia,80.3,101.6,4.6,3.4,52.4,8.8,309.0,29.5,Yes,No,Yes,29876.24,19.55,55.2,1.72,28.99,1889.17
Slovenia,76.6,115.1,19.1,9.0,56.0,34.3,569.9,59.3,Yes,No,Yes,35662.4,19.28,54.88,1.79,30.68,444.5
